iter	Passed	Remaining
0	305	305056
1	469	234382
2	668	222096
3	820	204277
4	981	195362
5	1190	197173
6	1471	208791
7	1807	224110
8	2095	230684
9	2348	232519
10	2511	225824
11	2695	221962
12	2856	216897
13	3024	212986
14	3200	210156
15	3464	213096
16	4302	248798
17	4683	255538
18	4821	248944
19	4984	244254
20	5186	241801
21	5404	240266
22	5554	235942
23	5900	239957
24	6220	242614
25	6541	245066
26	6743	243002
27	6913	239985
28	7075	236907
29	7264	234901
30	7407	231555
31	7617	230439
32	7984	233974
33	8351	237282
34	8636	238108
35	8777	235047
36	8988	233954
37	9164	232004
38	9338	230114
39	9568	229646
40	9823	229781
41	10174	232086
42	10465	232927
43	10721	232943
44	10871	230726
45	11044	229063
46	11241	227948
47	11391	225927
48	11580	224760
49	11926	226598
50	12258	228103
51	12492	227753
52	12722	227324
53	12862	225332
54	13000	223367
55	13217	222813
56	13395	221619
57	13584	220628
58	13880	221377
59	14201	222488
60	14479	222885
61	14805	223997
62	15074	224205
63	15407	225327
64	15895	228649
65	16246	229907
66	16627	231543
67	17062	233860
68	17350	234103
69	17578	233545
70	17798	232878
71	17998	231980
72	18296	232345
73	18576	232452
74	18815	232061
75	19050	231610
76	19250	230750
77	19440	229794
78	19634	228903
79	19873	228542
80	20209	229294
81	20462	229083
82	20777	229551
83	20959	228556
84	21146	227632
85	21342	226830
86	21497	225598
87	21776	225686
88	22159	226821
89	22845	230992
90	23100	230751
91	23420	231146
92	23650	230651
93	23904	230401
94	24085	229442
95	24326	229070
96	24490	227986
97	24677	227136
98	24912	226725
99	25294	227649
100	25581	227696
101	25779	226957
102	25965	226128
103	26228	225965
104	26406	225087
105	26548	223907
106	26762	223357
107	27058	223482
108	27329	223397
109	27601	223320
110	27801	222663
111	28014	222116
112	28262	221845
113	28432	220974
114	28638	220392
115	28858	219924
116	29116	219745
117	29418	219888
118	29848	220981
119	30275	222022
120	30721	223177
121	31021	223251
122	31330	223386
123	31651	223603
124	31882	223177
125	32167	223127
126	32399	222714
127	32619	222221
128	32865	221907
129	33089	221447
130	33418	221683
131	33592	220897
132	33875	220828
133	34055	220092
134	34274	219613
135	34491	219123
136	34773	219047
137	35062	219012
138	35342	218922
139	35547	218365
140	35776	217960
141	35976	217378
142	36217	217049
143	36403	216401
144	36644	216077
145	36944	216101
146	37214	215947
147	37384	215216
148	37569	214573
149	37778	214078
150	38012	213727
151	38260	213452
152	38534	213322
153	38788	213084
154	39015	212695
155	39283	212535
156	39498	212085
157	39787	212030
158	40420	213798
159	40913	214798
160	41244	214934
161	41494	214642
162	41767	214475
163	41979	213993
164	42196	213539
165	42399	213020
166	42596	212473
167	42858	212249
168	43111	211985
169	43395	211870
170	43598	211362
171	43780	210757
172	43943	210065
173	44163	209651
